饥饿耐性,1,墙面移动,1,0,0,0,269484042
体术,1,体力回复量提升,2,0,0,0,269484041
看破,1,墙面移动,1,0,0,0,269484039
耳塞,2,毒属性强化,2,4,0,0,269484045
不屈,1,纳刀术,2,2,2,0,269484045
零件改造,2,回避距离提升,1,3,1,0,269484045
满足感,3,破坏王,1,2,2,0,269484045
快吃,1,打磨术【锐】,1,3,0,0,269484045
耳塞,3,回复速度,2,4,0,0,269484045
吹笛名人,1,冰属性攻击强化,1,4,0,0,269484045
弹丸节约,2,属性异常状态的耐性,1,1,1,0,269484045
满足感,2,高速变形,2,2,1,1,269484045
抑制偏移,2,回避距离提升,1,4,0,0,269484045
快吃,1,风压耐性,2,4,0,0,269484045
耐力急速回复,2,体术,2,1,1,0,269484045
击晕术,1,墙面移动,2,4,0,0,269484045
贯穿弹・贯穿箭强化,1,,0,,0,3,1,0,269484045
逆袭,3,耐力急速回复,1,4,0,0,269484045
抑制偏移,2,合气,1,2,2,0,269484045
吹笛名人,1,装填速度,2,2,2,1,269484045
拔刀术【技】,2,蓄力大师,1,0,0,0,269484045
走壁移动【翔】,1,抑制偏移,1,4,0,0,269484045
骑乘名人,1,毒属性强化,1,4,0,0,269484045
刃鳞打磨,2,精灵加护,2,1,1,0,269484045
吹笛名人,1,抑制偏移,1,4,0,0,269484045
零件改造,2,墙面移动,2,1,0,0,269484045
减轻胆怯,2,回避性能,1,3,1,1,269484045
装填扩充,1,,0,,0,1,1,1,269484045
提供,1,特殊射击强化,1,4,0,0,269484045
饥饿耐性,2,剥取铁人,1,3,2,1,269484045
骑乘名人,1,回避性能,1,2,2,0,269484045
体术,2,抑制偏移,1,3,2,0,269484045
精灵加护,1,破坏王,2,4,0,0,269484045
减轻后坐力,2,走壁移动【翔】,1,2,1,1,269484045
砥石使用高速化,2,毒属性强化,2,2,1,1,269484045
通常弹・连射箭强化,1,属性异常状态的耐性,2,1,1,1,269484045
骑乘名人,1,零件改造,1,2,1,0,269484045
回避距离提升,1,火属性攻击强化,1,4,0,0,269484045
耐震,2,装填速度,1,2,1,1,269484045
击晕术,2,夺取耐力,1,2,1,1,269484045
泡沫之舞,2,会心击【属性】,1,3,1,1,269484045
精神抖擞,2,击晕术,2,2,1,0,269484045
走壁移动【翔】,1,快吃,1,3,2,1,269484045
翔虫使,2,骑乘名人,1,3,2,0,269484045
高速变形,2,纳刀术,2,2,1,1,269484045
高速变形,2,回复速度,3,2,2,0,269484045
纳刀术,2,广域化,2,4,0,0,269484045
满足感,3,毒属性强化,2,3,1,0,269484045
滑走强化,1,合气,1,4,0,0,269484045
耐震,1,墙面移动,3,3,1,1,269484045
抑制偏移,1,击晕术,1,4,0,0,269484045
饥饿耐性,3,走壁移动【翔】,1,4,0,0,269484045
拔刀术【力】,1,砥石使用高速化,1,2,1,1,269484045
高速变形,3,刃鳞打磨,1,3,1,0,269484045
快吃,2,因祸得福,1,1,1,1,269484045
体力回复量提升,3,耳塞,1,3,1,1,269484045
快吃,2,挑战者,1,3,1,1,269484045
饥饿耐性,2,爆破属性强化,1,4,0,0,269484045
砥石使用高速化,3,龙属性攻击强化,1,2,2,1,269484045
泡沫之舞,1,火场怪力,1,4,0,0,269484045
减轻胆怯,1,合气,1,2,2,1,269484045
合气,1,火属性攻击强化,1,4,0,0,269484045
耳塞,1,冰属性攻击强化,1,2,1,1,269484045
耐力急速回复,2,昏厥耐性,2,1,1,1,269484045
夺取耐力,1,爆破属性强化,1,1,1,1,269484045
击晕术,1,龙属性攻击强化,1,4,0,0,269484045
体术,2,翔虫使,1,3,2,0,269484045
纳刀术,2,合气,1,4,0,0,269484045
合气,1,抑制偏移,1,4,0,0,269484045
破坏王,2,连击,1,3,0,0,269484045
逆袭,2,精神抖擞,2,1,1,0,269484045
挑战者,1,耳塞,2,3,1,0,269484045
减轻胆怯,2,耐震,1,2,1,1,269484045
回复速度,3,快吃,1,2,2,0,269484045
拔刀术【力】,3,刚刃研磨,1,3,1,0,269484045
火场怪力,1,,0,,0,3,1,1,269484045
刃鳞打磨,1,耐震,1,3,1,0,269484045
耐震,1,破坏王,1,2,2,0,269484045
饥饿耐性,2,骑乘名人,1,3,2,1,269484045
回复速度,3,回避距离提升,2,2,2,0,269484045
满足感,2,骑乘名人,1,4,0,0,269484045
耐震,1,爆破属性强化,2,4,0,0,269484045
麻痹属性强化,1,,0,,0,3,1,1,269484045
破坏王,1,防御性能,1,1,1,1,269484045
墙面移动,1,最爱蘑菇,1,3,0,0,269484045
减轻胆怯,2,连击,1,4,0,0,269484045
快吃,2,滑走强化,1,3,1,1,269484045
拔刀术【力】,3,击晕术,2,3,0,0,269484045
装填速度,2,体力回复量提升,2,3,2,0,269484045
精灵加护,1,翔虫使,2,4,0,0,269484045
风压耐性,2,防御,1,3,1,1,269484045
回复速度,3,死里逃生,2,2,0,0,269484045
泡沫之舞,2,毒属性强化,2,4,0,0,269484045
道具使用强化,1,体力回复量提升,2,3,1,1,269484045
装填速度,1,破坏王,2,3,2,0,269484045
体力回复量提升,1,跑者,1,4,0,0,269484045
精灵加护,2,龙属性攻击强化,1,4,0,0,269484045
昏厥耐性,3,零件改造,1,1,1,1,269484045
打磨术【锐】,2,,0,,0,4,0,0,269484045
不屈,1,剥取铁人,1,4,0,0,269484045
高速变形,2,击晕术,1,4,0,0,269484045
泡沫之舞,2,广域化,1,2,2,1,269484045
挑战者,3,,0,,0,4,0,0,269484045
泡沫之舞,1,冰属性攻击强化,1,4,0,0,269484045
破坏王,3,零件改造,1,2,0,0,269484045
回避性能,3,水属性攻击强化,2,4,0,0,269484045
减轻胆怯,3,高速变形,1,4,0,0,269484045
